"","Hugo_Symbol","Entrez_Gene_Id"
"100130426",NA,100130426
"100133144",NA,100133144
"100134869",NA,100134869
"10357",NA,10357
"10431",NA,10431
"136542",NA,136542
"155060",NA,155060
"26823",NA,26823
"280660",NA,280660
"317712",NA,317712
"340602",NA,340602
"388795",NA,388795
"390284",NA,390284
"391343",NA,391343
"391714",NA,391714
"404770",NA,404770
"441362",NA,441362
"442388",NA,442388
"553137",NA,553137
"57714",NA,57714
"645851",NA,645851
"652919",NA,652919
"653553",NA,653553
"728045",NA,728045
"728603",NA,728603
"728788",NA,728788
"729884",NA,729884
"8225",NA,8225
"90288",NA,90288
"1","A1BG",1
"29974","A1CF",29974
"54715","A2BP1",54715
"87769","A2LD1",87769
"144568","A2ML1",144568
"2","A2M",2
"53947","A4GALT",53947
"51146","A4GNT",51146
"404744","AAA1",404744
"8086","AAAS",8086
"729522","AACSL",729522
"65985","AACS",65985
"344752","AADACL2",344752
"126767","AADACL3",126767
"343066","AADACL4",343066
"13","AADAC",13
"51166","AADAT",51166
"79719","AAGAB",79719
"22848","AAK1",22848
"14","AAMP",14
"15","AANAT",15
"57505","AARS2",57505
"80755","AARSD1",80755
"16","AARS",16
"60496","AASDHPPT",60496
"132949","AASDH",132949
"10157","AASS",10157
"26574","AATF",26574
"9625","AATK",9625
"18","ABAT",18
"10349","ABCA10",10349
"79963","ABCA11P",79963
"26154","ABCA12",26154
"154664","ABCA13",154664
"650655","ABCA17P",650655
"19","ABCA1",19
"20","ABCA2",20
"21","ABCA3",21
"24","ABCA4",24
"23461","ABCA5",23461
"23460","ABCA6",23460
"10347","ABCA7",10347
"10351","ABCA8",10351
"10350","ABCA9",10350
"23456","ABCB10",23456
"8647","ABCB11",8647
"5243","ABCB1",5243
"5244","ABCB4",5244
"340273","ABCB5",340273
"10058","ABCB6",10058
"22","ABCB7",22
"11194","ABCB8",11194
"23457","ABCB9",23457
"89845","ABCC10",89845
"85320","ABCC11",85320
"94160","ABCC12",94160
"150000","ABCC13",150000
"4363","ABCC1",4363
"1244","ABCC2",1244
"8714","ABCC3",8714
"10257","ABCC4",10257
"10057","ABCC5",10057
"653190","ABCC6P1",653190
"730013","ABCC6P2",730013
"368","ABCC6",368
"6833","ABCC8",6833
"10060","ABCC9",10060
"215","ABCD1",215
"225","ABCD2",225
"5825","ABCD3",5825
"5826","ABCD4",5826
"6059","ABCE1",6059
"23","ABCF1",23
"10061","ABCF2",10061
"55324","ABCF3",55324
"9619","ABCG1",9619
"9429","ABCG2",9429
"64137","ABCG4",64137
"64240","ABCG5",64240
"64241","ABCG8",64241
"55347","ABHD10",55347
"83451","ABHD11",83451
"145447","ABHD12B",145447
"26090","ABHD12",26090
"84945","ABHD13",84945
"25864","ABHD14A",25864
