Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame
IFNGR2	NA	washu.edu	TCGA-AB-2908-03	IFNGR2(+)GART(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
PML	NA	washu.edu	TCGA-AB-2803-03	PML(+)RARA(+) fusion (In-frame)	unknown	unknown	unknown	unknown
CDC2L1	NA	washu.edu	TCGA-AB-2806-03	CDC2L1(-)SLC35E2(-) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
RUNX1	NA	washu.edu	TCGA-AB-2806-03	RUNX1(+)RUNX1T1(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
GAS6	NA	washu.edu	TCGA-AB-2814-03	GAS6(-)FAM70B(+) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
MYH11	NA	washu.edu	TCGA-AB-2815-03	MYH11(+)CBFB(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
BCR	NA	washu.edu	TCGA-AB-2817-03	BCR(+)ABL1(+) fusion (In-frame)	unknown	unknown	unknown	unknown
RUNX1	NA	washu.edu	TCGA-AB-2819-03	RUNX1(+)RUNX1T1(+) fusion (Unknown)	unknown	unknown	unknown	unknown
GOSR1	NA	washu.edu	TCGA-AB-2820-03	GOSR1(-)ZNF207(-) fusion (In-frame)	unknown	unknown	unknown	unknown
PML	NA	washu.edu	TCGA-AB-2823-03	PML(-)RARA(-) fusion (Unknown frame)	unknown	unknown	unknown	unknown
MYH11	NA	washu.edu	TCGA-AB-2828-03	MYH11(-)CBFB(-) fusion (Unknown)	unknown	unknown	unknown	unknown
TFG	NA	washu.edu	TCGA-AB-2828-03	TFG(+)GPR128(+) fusion (In-frame)	unknown	unknown	unknown	unknown
KIAA0999	NA	washu.edu	TCGA-AB-2832-03	KIAA0999(+)C11orf1(+) fusion (In-frame)	unknown	unknown	unknown	unknown
MLLT10	NA	washu.edu	TCGA-AB-2832-03	MLLT10(+)PPP2R1B(+) fusion (In-frame)	unknown	unknown	unknown	unknown
PPP2R1B	NA	washu.edu	TCGA-AB-2832-03	PPP2R1B(-)KIAA0999(+) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
MLL	NA	washu.edu	TCGA-AB-2834-03	MLL(+)ELL(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
AF086125	NA	washu.edu	TCGA-AB-2838-03	AF086125(+)USP22(+) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
CA7	NA	washu.edu	TCGA-AB-2838-03	CA7(+)USP22(-) fusion (Unknown)	unknown	unknown	unknown	unknown
ACAD10	NA	washu.edu	TCGA-AB-2840-03	ACAD10(-)MAPKAPK5(-) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
GAS6	NA	washu.edu	TCGA-AB-2840-03	GAS6(+)FAM70B(-) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
PML	NA	washu.edu	TCGA-AB-2840-03	PML(+)RARA(+) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
PML	NA	washu.edu	TCGA-AB-2841-03	PML(+)RARA(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
MLLT10	NA	washu.edu	TCGA-AB-2842-03	MLLT10(+)MLL(+) fusion (In-frame)	unknown	unknown	unknown	unknown
MLL	NA	washu.edu	TCGA-AB-2844-03	MLL(-)ELL(-) fusion (In-frame)	unknown	unknown	unknown	unknown
